"","Method","Taxa","Common name","Taxonomic level","Trophic ecology"
"1","Fish","Anarrhichthys ocellatus","Wolf eel","Fish","Macroinvertivore"
"2","Fish","Bathymasteridae","Ronquils","Fish","Macroinvertivore"
"3","Fish","Cebidichthys violaceus","Monkeyface eel","Fish","Herbivore"
"4","Fish","Cephaloscyllium ventriosum","Swell shark","Fish","Piscivore"
"5","Fish","Chromis punctipinnis","Blacksmith","Fish","Planktivore"
"6","Fish","Citharichthys","Sanddabs","Fish","Microinvertivore"
"7","Fish","Cymatogaster aggregata","Shiner surfperch","Fish","Planktivore"
"8","Fish","Embiotoca jacksoni","Black surfperch","Fish","Microinvertivore"
"9","Fish","Embiotoca lateralis","Striped surfperch","Fish","Microinvertivore"
"10","Fish","Ernogrammus walkeri","Masked prickleback","Fish","Microinvertivore"
"11","Fish","Girella nigricans","Opaleye","Fish","Herbivore"
"12","Fish","Heterostichus rostratus","Giant kelpfish","Fish","Macroinvertivore"
"13","Fish","Hexagrammos decagrammus","Kelp greenling","Fish","Macroinvertivore"
"14","Fish","Hexagrammos lagocephalus","Rock greenling","Fish","Macroinvertivore"
"15","Fish","Hypsurus caryi","Rainbow surfperch","Fish","Microinvertivore"
"16","Fish","Mola mola","Ocean sunfish","Fish","Planktivore"
"17","Fish","Ophiodon elongatus","Lingcod","Fish","Piscivore"
"18","Fish","Oxyjulis californica","Senorita","Fish","Planktivore"
"19","Fish","Oxylebius pictus","Painted greenling","Fish","Microinvertivore"
"20","Fish","Paralabrax clathratus","Kelp bass, calico bass","Fish","Piscivore"
"21","Fish","Paralichthys californicus","California halibut","Fish","Piscivore"
"22","Fish","Phanerodon furcatus","White surfperch","Fish","Microinvertivore"
"23","Fish","Platyrhinoidis triseriata","Thornback","Fish","Macroinvertivore"
"24","Fish","Pleuronichthys coenosus","Righteyed flounders","Fish","Piscivore"
"25","Fish","Porichthys notatus","Plainfin midshipman","Fish","Macroinvertivore"
"26","Fish","Rhacochilus toxotes","Rubberlip surfperch","Fish","Macroinvertivore"
"27","Fish","Rhacochilus vacca","Pile surfperch","Fish","Macroinvertivore"
"28","Fish","Rhinogobiops nicholsii","Blackeye goby","Fish","Planktivore"
"29","Fish","Scorpaenichthys marmoratus","Cabezon","Fish","Macroinvertivore"
"30","Fish","Sebastes atrovirens","Kelp rockfish","Fish","Macroinvertivore"
"31","Fish","Sebastes auriculatus","Brown rockfish","Fish","Piscivore"
"32","Fish","Sebastes carnatus","Gopher rockfish","Fish","Macroinvertivore"
"33","Fish","Sebastes caurinus","Copper rockfish","Fish","Macroinvertivore"
"34","Fish","Sebastes chrysomelas","Black-and-yellow rockfish","Fish","Macroinvertivore"
"35","Fish","Sebastes dallii","Calico rockfish","Fish","Macroinvertivore"
"36","Fish","Sebastes entomelas","Widow rockfish","Fish","Piscivore"
"37","Fish","Sebastes hopkinsi","Squarespot rockfish","Fish","Planktivore"
"38","Fish","Sebastes melanops","Black rockfish","Fish","Piscivore"
"39","Fish","Sebastes miniatus","Vermilion rockfish","Fish","Piscivore"
"40","Fish","Sebastes mystinus","Blue rockfish","Fish","Planktivore"
"41","Fish","Sebastes nebulosus","China rockfish","Fish","Macroinvertivore"
"42","Fish","Sebastes paucispinis","Bocaccio","Fish","Piscivore"
"43","Fish","Sebastes pinniger","Canary rockfish","Fish","Piscivore"
"44","Fish","Sebastes rastrelliger","Grass rockfish","Fish","Piscivore"
"45","Fish","Sebastes rosaceus","Rosy rockfish","Fish","Planktivore"
"46","Fish","Sebastes saxicola","Stripetail rockfish","Fish","Planktivore"
"47","Fish","Sebastes semicinctus","Halfbanded rockfish","Fish","Planktivore"
"48","Fish","Sebastes serranoides flavidus","Olive or yellowtail rockfish","Fish","Piscivore"
"49","Fish","Sebastes serriceps","Treefish","Fish","Macroinvertivore"
"50","Fish","Semicossyphus pulcher","California sheephead","Fish","Macroinvertivore"
"51","Fish","Tetronarce californica","Pacific electric ray","Fish","Piscivore"
"52","Fish","Zalembius rosaceus","Pink surfperch","Fish","Microinvertivore"
"53","Swath","Alaria marginata","Alaria","Algae","Autotroph"
"54","Swath","Anthopleura sola","Green anemone","Invertebrate","Planktivore"
"55","Swath","Anthopleura xanthogrammica","Giant green anemone","Invertebrate","Planktivore"
"56","Swath","Aplysia californica","California brown sea hare","Invertebrate","Herbivore"
"57","Swath","Aplysia vaccaria","Black sea hare","Invertebrate","Herbivore"
"58","Swath","Apostichopus californicus","California sea cucumber","Invertebrate","Detritivore (algal)"
"59","Swath","Apostichopus parvimensis","Warty sea cucumber","Invertebrate","Detritivore (algal)"
"60","Swath","Balanus nubilus","Barnacle","Invertebrate","Planktivore"
"61","Swath","Cancridae family","Crabs","Invertebrate","Macroinvertivore"
"62","Swath","Ceratostoma foliatum","Leafy hornmouth","Invertebrate","Microinvertivore"
"63","Swath","Costaria costata","Costaria","Algae","Autotroph"
"64","Swath","Craniella arb","Grey tennis ball sponge","Invertebrate","Planktivore"
"65","Swath","Crassadoma gigantea","Rock scallop","Invertebrate","Planktivore"
"66","Swath","Cribrinopsis albopunctata","Nudibranch","Invertebrate","Microinvertivore"
"67","Swath","Cryptochiton stelleri","Gumboot chiton","Invertebrate","Herbivore"
"68","Swath","Cryptolithodes sitchensis","Umbrella crab","Invertebrate","Microinvertivore"
"69","Swath","Cucumaria miniata","Orange sea cucumber","Invertebrate","Planktivore"
"70","Swath","Dermasterias imbricata","Leather star","Invertebrate","Microinvertivore"
"71","Swath","Eisenia arborea","Eisenia","Algae","Autotroph"
"72","Swath","Haliotis kamtschatkana","Pinto abalone","Invertebrate","Detritivore (algal)"
"73","Swath","Haliotis rufescens","Red abalone","Invertebrate","Detritivore (algal)"
"74","Swath","Haliotis walallensis","Flat abalone","Invertebrate","Detritivore (algal)"
"75","Swath","Henricia leviuscula","Blood star","Invertebrate","Microinvertivore"
"76","Swath","Kelletia kelletii","Kellet's whelk","Invertebrate","Macroinvertivore"
"77","Swath","Laminaria farlowii","Laminaria","Algae","Autotroph"
"78","Swath","Laminaria setchellii","Laminaria","Algae","Autotroph"
"79","Swath","Leptasterias hexactis","Six-rayes star","Invertebrate","Detritivore (algal)"
"80","Swath","Loxorhynchus crispatus scyra acutifrons","Decorator crab, moss crab","Invertebrate","Detritivore (algal)"
"81","Swath","Loxorhynchus grandis","Sheep crab","Invertebrate","Macroinvertivore"
"82","Swath","Lytechinus pictus","White urchin (adult > 2.5 cm)","Invertebrate","Herbivore"
"83","Swath","Macrocystis pyrifera","Giant kelp","Algae","Autotroph"
"84","Swath","Mediaster aequalis","Red star","Invertebrate","Microinvertivore"
"85","Swath","Megastraea undosa","Wavy turban snail","Invertebrate","Herbivore"
"86","Swath","Megathura crenulata","Giant keyhole limpet","Invertebrate","Herbivore"
"87","Swath","Mesocentrotus franciscanus","Red sea urchin","Invertebrate","Herbivore"
"88","Swath","Metridium","White plumed anemones","Invertebrate","Planktivore"
"89","Swath","Neobernaya spadicea","Chestnut cowrie","Invertebrate","Microinvertivore"
"90","Swath","Nereocystis luetkeana","Nereocystis","Algae","Autotroph"
"91","Swath","Orthasterias koehleri","Rainbow star","Invertebrate","Macroinvertivore"
"92","Swath","Pachycerianthus fimbriatus","Burrowing anemone","Invertebrate","Planktivore"
"93","Swath","Patiria miniata","Bat star","Invertebrate","Detritivore (algal)"
"94","Swath","Pisaster brevispinus","Short spined star","Invertebrate","Macroinvertivore"
"95","Swath","Pisaster giganteus","Giant spined star","Invertebrate","Macroinvertivore"
"96","Swath","Pisaster ochraceus","Ochre star","Invertebrate","Macroinvertivore"
"97","Swath","Pleurophycus gardneri","Pleurophycus","Algae","Autotroph"
"98","Swath","Pomaulax gibberosus","Red turban snail","Invertebrate","Herbivore"
"99","Swath","Pterygophora californica","Pterygophora","Algae","Autotroph"
"100","Swath","Pugettia foliata","Kelp crab","Invertebrate","Herbivore"
"101","Swath","Pugettia producta","Northern kelp crab","Invertebrate","Herbivore"
"102","Swath","Pugettia richii","Cryptic kelp crab","Invertebrate","Herbivore"
"103","Swath","Pycnopodia helianthoides","Sunflower star","Invertebrate","Macroinvertivore"
"104","Swath","Stephanocystis osmundacea","Cystoseira","Algae","Autotroph"
"105","Swath","Strongylocentrotus purpuratus","Purple urchin","Invertebrate","Herbivore"
"106","Swath","Styela montereyensis","Stalked tunicate","Invertebrate","Planktivore"
"107","Swath","Stylaster californicus","California hydrocoral","Invertebrate","Planktivore"
"108","Swath","Tethya californiana","Orange puffball sponge","Invertebrate","Planktivore"
"109","Swath","Urticina","Urticina spp.","Invertebrate","Planktivore"
"110","UPC","Bryozoa","Bryozoan","Invertebrate","Planktivore"
"111","UPC","Chlorophyta","Green algae","Algae","Autotroph"
"112","UPC","Cirripedia","Barnacle","Invertebrate","Planktivore"
"113","UPC","Clam","Clam","Invertebrate","Planktivore"
"114","UPC","Coralline algae crustose","Coralline algae crustose","Algae","Autotroph"
"115","UPC","Coralline algae erect articulated","Coralline algae erect/articulated","Algae","Autotroph"
"116","UPC","Corynactis californica","Strawberry anemone","Invertebrate","Planktivore"
"117","UPC","Cucumaria","Sea cucumber","Invertebrate","Planktivore"
"118","UPC","Cup coral","Cup coral","Invertebrate","Planktivore"
"119","UPC","Desmarestia","Acidic seaweed","Algae","Autotroph"
"120","UPC","Diatom layer","Diatom layer","Algae","Autotroph"
"121","UPC","Dictyoneurum californicum reticulatum","Dictyotales","Algae","Autotroph"
"122","UPC","Dictyotales","Brown algae","Algae","Autotroph"
"123","UPC","Diopatra chaetopterus spp","Ornate tube worm","Invertebrate","Planktivore"
"124","UPC","Dodecaceria fewkesi","Dodecaceria","Invertebrate","Planktivore"
"125","UPC","Egregia menziesii","Egregia","Algae","Autotroph"
"126","UPC","Hydroid","Hydroid","Invertebrate","Planktivore"
"127","UPC","Macrocystis pyrifera","Giant kelp","Algae","Autotroph"
"128","UPC","Mytilus spp","Mussel","Invertebrate","Planktivore"
"129","UPC","Petaloconchus montereyensis","Worm snail","Invertebrate","Planktivore"
"130","UPC","Phaeophyceae","Brown algae","Algae","Autotroph"
"131","UPC","Phragmatopoma californica","Colonial sand tube worm","Invertebrate","Planktivore"
"132","UPC","Phyllospadix","Surfgrass","Seagrass","Autotroph"
"133","UPC","Porifera","Sponge","Invertebrate","Planktivore"
"134","UPC","Red algae branching flat blade","Red algae (branching flat blade)","Algae","Autotroph"
"135","UPC","Red algae cylindrical branches","Red algae (cylindrical branches)","Algae","Autotroph"
"136","UPC","Red algae encrusting","Red algae encrusting","Algae","Autotroph"
"137","UPC","Red algae lacy branching","Red algae (lacy branching)","Algae","Autotroph"
"138","UPC","Red algae leaf like","Red algae (leaflike)","Algae","Autotroph"
"139","UPC","Red filamentous turf","Red filamentous turf","Algae","Autotroph"
"140","UPC","Salmacina tribranchiata","Fragile tube worms","Invertebrate","Planktivore"
"141","UPC","Scallop","Scallop","Invertebrate","Planktivore"
"142","UPC","Stephanocystis osmundacea","Cystoseira","Algae","Autotroph"
"143","UPC","Stylaster californicus","California hydrocoral","Invertebrate","Planktivore"
"144","UPC","Thylacodes squamigerus","Tube snail, scaled worm shell","Invertebrate","Planktivore"
"145","UPC","Tubeworm","Tubeworm","Invertebrate","Planktivore"
"146","UPC","Tubeworm mat","Tubeworm mat.","Invertebrate","Planktivore"
"147","UPC","Tunicate colonial compund social","Tunicate colonial,compund,social","Invertebrate","Planktivore"
"148","UPC","Tunicate solitary","Tunicate solitary","Invertebrate","Planktivore"
"149","Fish","Brachyistius frenatus","Kelp perch","Fish","Microinvertivore"
