"Site","DF","Sum of Sq.","R-squared","F","P(perm)"
"Weston DC",1,0.243212663553439,0.302359941231234,4.33403927183963,0.001
"Weston UC",1,0.276388287920012,0.276516828767272,4.58642588680182,0.001
"Bluefish UC",1,0.291488344404291,0.295205576277996,5.02624140615113,0.002
"Bluefish DC",1,0.223460136046389,0.28201187047157,4.32058755236626,0.001
"Monastery UC",1,0.2087938551067,0.261642385994284,3.89792993441637,0.001
"Monastery DC",1,0.246231235428223,0.255017093257185,4.10775212610707,0.001
"Butterfly DC",1,0.221362100553412,0.289668658790763,3.67014346386405,0.004
"Butterfly UC",1,0.275347469266154,0.29449192558575,3.75676399235015,0.002
"Pescadero DC",1,0.290875833092023,0.287617666410606,4.84488712618275,0.002
"Stillwater DC",1,0.32722216738514,0.302762866748722,4.77655502756434,0.002
"Stillwater UC",1,0.295547681196058,0.274739847596797,4.16697141508558,0.002
"Pescadero UC",1,0.287265017882215,0.29480206496575,4.59845747345495,0.001
"Lone Tree",1,0.266507135818342,0.367962286134726,4.0752884621251,0.009
"Cannery UC",1,0.196028638065619,0.233654515779312,2.43915592213003,0.006
"Cannery DC",1,0.220672892161369,0.248189777393019,2.64098326870198,0.007
"Macabee UC",1,0.266114299684191,0.2117286934437,2.95458633152006,0.002
"Macabee DC",1,0.352632546848959,0.288271275657587,4.45532676113814,0.002
"Hopkins UC",1,0.250282311611781,0.257220061776041,4.1555251864945,0.002
"Hopkins DC",1,0.341255655467431,0.287096433188066,4.83257113393799,0.001
"Lovers UC",1,0.260873599714599,0.254268404027653,3.06868536697182,0.015
"Lovers DC",1,0.285010518122647,0.279678342774222,3.49441816682605,0.004
"Siren",1,0.226491354950561,0.25038389930101,3.34016170500522,0.003
"Otter Pt UC",1,0.203662341791388,0.206118545063358,2.59633908540926,0.008
"Otter Pt DC",1,0.288718227298439,0.267332254734955,3.64875151748691,0.006
