"","Bluefish UC","Butterfly DC","Butterfly UC","Cannery DC","Cannery UC","Hopkins DC","Hopkins UC","Lone Tree","Lovers DC","Lovers UC","Macabee DC","Macabee UC","Monastery DC","Monastery UC","Otter Pt DC","Otter Pt UC","Pescadero DC","Pescadero UC","Siren","Stillwater DC","Stillwater UC","Weston DC","Weston UC"
"Bluefish DC","0.82","0.89","0.89","0.89","0.88","0.83","0.89","0.78","0.84","0.81","0.84","0.77","0.87","0.86","0.83","0.88","0.86","0.86","0.84","0.9","0.83","0.9","0.88"
"Bluefish UC","-","0.88","0.84","0.85","0.84","0.83","0.81","0.83","0.88","0.87","0.89","0.82","0.82","0.87","0.86","0.89","0.86","0.84","0.85","0.82","0.87","0.82","0.84"
"Butterfly DC","-","-","0.92","0.94","0.92","0.93","0.93","0.86","0.92","0.91","0.89","0.85","0.88","0.93","0.92","0.9","0.95","0.93","0.93","0.89","0.91","0.93","0.91"
"Butterfly UC","-","-","-","0.92","0.91","0.91","0.88","0.84","0.92","0.89","0.89","0.86","0.88","0.93","0.94","0.88","0.9","0.92","0.92","0.88","0.89","0.91","0.92"
"Cannery DC","-","-","-","-","0.93","0.91","0.92","0.87","0.91","0.91","0.92","0.89","0.88","0.94","0.93","0.91","0.91","0.91","0.92","0.92","0.94","0.94","0.88"
"Cannery UC","-","-","-","-","-","0.9","0.93","0.88","0.92","0.89","0.89","0.86","0.91","0.94","0.91","0.89","0.88","0.88","0.92","0.89","0.93","0.92","0.91"
"Hopkins DC","-","-","-","-","-","-","0.92","0.81","0.95","0.96","0.87","0.81","0.86","0.96","0.96","0.88","0.91","0.9","0.92","0.87","0.9","0.9","0.89"
"Hopkins UC","-","-","-","-","-","-","-","0.84","0.87","0.88","0.86","0.83","0.86","0.91","0.89","0.87","0.88","0.89","0.9","0.85","0.88","0.94","0.88"
"Lone Tree","-","-","-","-","-","-","-","-","0.8","0.8","0.84","0.84","0.83","0.86","0.85","0.85","0.84","0.82","0.86","0.82","0.85","0.84","0.78"
"Lovers DC","-","-","-","-","-","-","-","-","-","0.97","0.93","0.82","0.89","0.97","0.97","0.9","0.9","0.91","0.91","0.9","0.93","0.9","0.89"
"Lovers UC","-","-","-","-","-","-","-","-","-","-","0.91","0.81","0.89","0.98","0.97","0.91","0.88","0.88","0.9","0.86","0.91","0.88","0.87"
"Macabee DC","-","-","-","-","-","-","-","-","-","-","-","0.9","0.89","0.93","0.92","0.89","0.87","0.87","0.88","0.88","0.92","0.89","0.83"
"Macabee UC","-","-","-","-","-","-","-","-","-","-","-","-","0.8","0.85","0.86","0.81","0.81","0.87","0.87","0.83","0.86","0.81","0.81"
"Monastery DC","-","-","-","-","-","-","-","-","-","-","-","-","-","0.92","0.89","0.93","0.87","0.91","0.9","0.9","0.9","0.88","0.89"
"Monastery UC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.97","0.92","0.9","0.9","0.93","0.9","0.93","0.93","0.9"
"Otter Pt DC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.9","0.92","0.9","0.91","0.88","0.93","0.91","0.9"
"Otter Pt UC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.9","0.91","0.88","0.9","0.9","0.87","0.91"
"Pescadero DC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.89","0.91","0.84","0.89","0.9","0.94"
"Pescadero UC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.96","0.93","0.92","0.88","0.89"
"Siren","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.91","0.92","0.9","0.88"
"Stillwater DC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.92","0.9","0.86"
"Stillwater UC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.89","0.9"
"Weston DC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.89"
